City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Santiago Del Estero,AR,-27.7951,-64.2615,68.94,16,99,17.92,overcast clouds
201,Somotillo,NI,13.0433,-86.9064,86.14,74,41,4.16,scattered clouds
202,Kirksville,US,40.1948,-92.5833,85.05,66,20,10.36,few clouds
203,Ahipara,NZ,-35.1667,173.1667,59.74,88,99,3.33,overcast clouds
204,Poum,NC,-20.2333,164.0167,75.06,80,100,3.83,moderate rain
205,Blagoyevo,RU,63.3667,47.9167,47.8,89,35,6.24,scattered clouds
206,Hilo,US,19.7297,-155.09,81.25,77,75,5.99,broken clouds
207,Punta De Bombon,PE,-17.1717,-71.7931,63.07,69,70,5.61,broken clouds
208,Port Hardy,CA,50.6996,-127.4199,54.55,84,100,2.68,overcast clouds
209,Singaparna,ID,-7.3515,108.111,70.34,94,73,1.61,broken clouds
210,Kenai,US,60.5544,-151.2583,62.02,56,100,10.36,overcast clouds
211,Taoudenni,ML,22.6783,-3.9836,95.0,22,100,10.89,overcast clouds
212,Monrovia,LR,6.3005,-10.7969,78.89,74,71,11.61,broken clouds
213,Abu Zabad,SD,12.35,29.25,92.39,18,11,3.11,few clouds
214,Skjervoy,NO,70.0311,20.9714,59.0,74,6,9.95,clear sky
215,Plunge,LT,55.9114,21.8442,61.39,78,84,10.78,broken clouds
216,Severodvinsk,RU,64.5635,39.8302,48.31,83,99,2.82,overcast clouds
217,Chuy,UY,-33.6971,-53.4616,53.38,41,0,11.41,clear sky
218,Port Macquarie,AU,-31.4333,152.9167,59.02,83,93,9.89,overcast clouds
219,Kodinsk,RU,58.6881,99.1844,56.37,90,100,3.71,overcast clouds
220,Guabito,PA,9.5,-82.6167,84.74,70,83,6.38,broken clouds
221,Dunedin,NZ,-45.8742,170.5036,45.81,75,100,11.99,overcast clouds
222,Kisangani,CD,0.5167,25.2,69.1,99,100,2.28,overcast clouds
223,Ilebo,CD,-4.3167,20.5833,76.19,58,100,1.9,overcast clouds
224,Pangody,RU,65.85,74.4859,62.15,54,100,10.54,overcast clouds
225,Meadow Lake,US,34.8014,-106.5436,86.7,48,19,5.66,few clouds
226,Braganca,BR,-1.0536,-46.7656,85.24,63,24,5.88,few clouds
227,Te Anau,NZ,-45.4167,167.7167,37.96,95,98,1.12,overcast clouds
228,Tyssedal,NO,60.1165,6.562,50.86,90,100,5.97,overcast clouds
229,Buraydah,SA,26.326,43.975,94.8,9,0,11.36,clear sky
230,Kabanjahe,ID,3.1001,98.4908,62.37,97,100,1.61,overcast clouds
231,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,83.57,72,50,3.47,scattered clouds
232,Awjilah,LY,29.1081,21.2869,84.22,28,0,16.37,clear sky
233,Lata,PT,40.1629,-8.3327,63.7,78,98,6.26,overcast clouds
234,Pali,IN,25.7667,73.3333,92.48,47,0,19.46,clear sky
235,Aykhal,RU,66.0,111.5,54.36,82,100,12.03,overcast clouds
236,Columbia,US,34.0007,-81.0348,95.0,41,20,9.22,few clouds
237,Lagoa,PT,39.05,-27.9833,64.47,85,98,17.67,overcast clouds
238,Paamiut,GL,61.994,-49.6678,42.67,82,100,15.77,overcast clouds
239,Malanje,AO,-9.5402,16.341,64.87,29,100,3.04,overcast clouds
240,Namibe,AO,-15.1961,12.1522,62.46,87,14,7.27,few clouds
241,Kirkwall,GB,58.9848,-2.9587,51.96,87,75,21.85,broken clouds
242,Hinganghat,IN,20.5667,78.8333,80.83,81,100,3.44,moderate rain
243,Santa Isabel,BR,-23.3156,-46.2214,62.31,92,100,6.06,overcast clouds
244,Nuristan,AF,35.3,70.8333,41.22,64,24,8.14,few clouds
245,Zimovniki,RU,47.1483,42.4633,68.27,47,53,3.8,broken clouds
246,Bilibino,RU,68.0546,166.4372,54.0,50,100,2.15,overcast clouds
247,Risod,IN,19.9667,76.7833,78.76,76,100,9.6,overcast clouds
248,Porbandar,IN,21.6422,69.6093,84.96,78,48,14.14,scattered clouds
249,Nuuk,GL,64.1835,-51.7216,39.76,94,100,13.73,light rain
250,Pisco,PE,-13.7,-76.2167,62.65,82,100,10.36,mist
251,Goderich,CA,43.7501,-81.7165,53.91,64,0,19.64,clear sky
252,Russell,US,32.3502,-85.1999,96.08,38,0,13.8,clear sky
253,Lebu,CL,-37.6167,-73.65,49.37,65,100,0.85,light rain
254,Dalvik,IS,65.9702,-18.5286,52.38,56,95,0.87,overcast clouds
255,Jiaojiang,CN,28.6803,121.4428,75.99,97,100,5.1,overcast clouds
256,Dongsheng,CN,39.8161,109.9776,74.05,20,92,9.53,overcast clouds
257,Lerum,SE,57.7745,12.2697,58.93,65,20,16.11,few clouds
258,Kashmor,PK,28.4333,69.5833,93.65,43,12,11.56,few clouds
259,Rawson,AR,-43.3002,-65.1023,50.58,45,100,14.54,overcast clouds
260,Tecpan,GT,14.7623,-90.9947,61.9,80,100,4.21,overcast clouds
261,Hithadhoo,MV,-0.6,73.0833,82.81,73,100,6.31,overcast clouds
262,Walvis Bay,NA,-22.9575,14.5053,57.09,87,0,14.99,clear sky
263,Padang,ID,-0.9492,100.3543,77.05,82,44,4.29,scattered clouds
264,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,75,12.66,broken clouds
265,Kherson,UA,46.6558,32.6178,67.75,63,100,8.19,overcast clouds
266,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,71,8.9,broken clouds
267,Haflong,IN,25.1833,93.0333,70.81,99,100,4.76,overcast clouds
268,Ancud,CL,-41.8697,-73.8203,53.22,92,100,22.3,moderate rain
269,Gushikawa,JP,26.3544,127.8686,80.19,94,100,3.44,overcast clouds
270,Talnakh,RU,69.4865,88.3972,49.17,55,10,8.95,clear sky
271,Puksoozero,RU,62.5903,40.6066,46.06,93,79,3.53,broken clouds
272,Kruisfontein,ZA,-34.0033,24.7314,55.89,88,95,5.77,overcast clouds
273,Negara,ID,-8.3151,114.6025,76.84,88,100,7.05,overcast clouds
274,Stephenville,US,32.2207,-98.2023,96.93,30,40,11.5,scattered clouds
275,Port Blair,IN,11.6667,92.75,82.78,79,100,9.19,overcast clouds
276,Anito,PH,12.4497,125.2886,77.22,89,73,3.2,broken clouds
277,Dire,ML,12.2833,-10.9667,86.81,51,19,7.47,few clouds
278,Victoria,HK,22.2855,114.1577,84.38,85,100,11.01,overcast clouds
279,Kedougou,SN,12.5579,-12.1743,85.26,59,71,8.05,broken clouds
280,Celestun,MX,20.8667,-90.4,82.98,73,100,17.36,overcast clouds
281,Broken Hill,AU,-31.95,141.4333,48.58,73,100,7.0,overcast clouds
282,Kande,TG,9.9578,1.0447,74.28,88,94,0.76,overcast clouds
283,Cidreira,BR,-30.1811,-50.2056,53.78,57,2,13.24,clear sky
284,Maracacume,BR,-2.0428,-45.9592,83.82,65,100,2.24,overcast clouds
285,Mishkino,RU,55.3389,63.9175,62.06,94,100,2.48,light rain
286,Simpang,ID,-1.2667,104.0833,73.63,97,80,2.13,broken clouds
287,Qasigiannguit,GL,68.8193,-51.1922,35.85,88,67,6.64,broken clouds
288,Muros,ES,42.7762,-9.0603,67.08,79,100,2.68,overcast clouds
289,Duncan,US,34.5023,-97.9578,95.05,46,0,8.05,clear sky
290,Rutland,US,43.6167,-73.0162,56.21,77,100,16.11,overcast clouds
291,Beloha,MG,-25.1667,45.05,60.76,72,0,5.28,clear sky
292,Gigmoto,PH,13.7796,124.39,80.67,82,92,3.65,light rain
293,Chichimila,MX,20.6167,-88.2167,87.85,54,100,5.48,overcast clouds
294,Isangel,VU,-19.55,169.2667,74.12,89,100,7.85,light rain
295,Verkhnevilyuysk,RU,63.4453,120.3167,55.83,70,100,5.37,overcast clouds
296,Taksimo,RU,56.3444,114.8794,62.6,63,100,0.13,overcast clouds
297,Lakatoro,VU,-16.0999,167.4164,78.15,80,100,5.46,overcast clouds
298,Erzin,TR,36.9559,36.2,74.34,85,0,4.56,clear sky
299,Tessalit,ML,20.1986,1.0114,88.52,30,100,11.68,light rain
300,Kitami,JP,43.8031,143.8908,60.12,94,100,4.41,overcast clouds
301,Biloela,AU,-24.4167,150.5,48.88,84,0,7.16,clear sky
302,Kaitangata,NZ,-46.2817,169.8464,45.91,92,100,8.55,overcast clouds
303,Trairi,BR,-3.2778,-39.2689,80.8,75,96,11.05,overcast clouds
304,Provideniya,RU,64.3833,-173.3,54.19,47,12,3.85,few clouds
305,Balikpapan,ID,-1.2675,116.8289,74.28,93,100,1.66,overcast clouds
306,Hemsedal,NO,60.8629,8.5534,51.31,50,24,12.24,few clouds
307,Shache,CN,38.4167,77.2406,67.05,56,100,9.28,overcast clouds
308,Najran,SA,17.4924,44.1277,82.44,13,100,2.21,overcast clouds
309,Ketchikan,US,55.3422,-131.6461,61.27,63,40,5.75,scattered clouds
310,Havelock,US,34.8791,-76.9013,89.98,57,0,3.0,clear sky
311,Bathsheba,BB,13.2167,-59.5167,86.61,66,40,19.57,scattered clouds
312,Benguela,AO,-12.5763,13.4055,67.39,84,81,6.6,broken clouds
313,Lexington,US,37.9887,-84.4777,78.12,38,0,11.5,clear sky
314,Manaus,BR,-3.1019,-60.025,90.1,66,40,6.91,scattered clouds
315,Port Shepstone,ZA,-30.7414,30.455,63.66,60,100,9.57,overcast clouds
316,Bethel,US,41.3712,-73.414,67.35,64,100,14.97,overcast clouds
317,Kaduna,NG,10.5222,7.4383,79.14,60,100,2.3,overcast clouds
318,Port Augusta,AU,-32.5,137.7667,53.76,58,100,9.78,overcast clouds
319,Nuqui,CO,5.7125,-77.2708,80.64,81,100,6.46,light rain
320,Pueblo Nuevo Solistahuacan,MX,17.1,-92.8833,65.91,86,100,4.68,overcast clouds
321,Verkhnyaya Inta,RU,65.9811,60.3094,58.17,79,54,5.26,broken clouds
322,Los Arabos,CU,22.7281,-80.7214,90.27,47,78,3.58,broken clouds
323,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,74,0,13.09,clear sky
324,Omsukchan,RU,62.5333,155.8,52.75,63,100,4.68,overcast clouds
325,Clyde River,CA,70.4692,-68.5914,37.96,86,10,8.86,clear sky
326,Polson,US,47.6936,-114.1632,69.22,64,99,2.77,overcast clouds
327,Flinders,AU,-34.5833,150.8552,52.38,81,27,10.76,scattered clouds
328,Axim,GH,4.8699,-2.2405,74.88,88,100,1.83,overcast clouds
329,Lisakovsk,KZ,52.5369,62.4936,63.37,91,100,4.09,overcast clouds
330,Irbit,RU,57.6705,63.071,59.13,95,100,2.3,overcast clouds
331,Vao,NC,-22.6667,167.4833,74.48,82,100,14.99,heavy intensity rain
332,Kalmunai,LK,7.4167,81.8167,80.08,82,100,10.42,overcast clouds
333,Faya,SA,18.3851,42.4509,72.12,30,100,2.86,overcast clouds
334,Ukiah,US,39.1502,-123.2078,68.38,44,0,8.05,clear sky
335,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,75,2.24,broken clouds
336,Srednekolymsk,RU,67.45,153.6833,48.25,59,6,2.37,clear sky
337,Gamba,GA,-2.65,10.0,71.6,83,82,7.07,broken clouds
338,Providencia,MX,28.7167,-111.5833,99.21,40,5,13.98,clear sky
339,Suining,CN,30.508,105.5733,73.78,77,97,1.63,overcast clouds
340,Tuy Hoa,VN,13.0833,109.3,79.18,80,31,5.55,scattered clouds
341,Vanavara,RU,60.34,102.2797,57.76,92,100,1.43,light rain
342,Bezhanitsy,RU,56.9767,29.8907,57.09,92,100,7.7,overcast clouds
343,Siparia,TT,10.1333,-61.5,87.82,72,9,3.0,clear sky
344,Mahajanga,MG,-15.7167,46.3167,75.2,75,54,7.49,light rain
345,Fez,MA,34.0372,-4.9998,88.05,42,40,6.91,scattered clouds
346,Port Hawkesbury,CA,45.6169,-61.3485,72.91,83,27,11.01,scattered clouds
